method,cluster_id,size,avg_frequency,median_frequency,recipe_coherence,density_coherence,coverage_coherence,quality,interpretation,primary_category,category_match_pct,secondary_category,recipes_with_cluster,max_co_occurrence,top_5_ingredients,top_10_ingredients
K-Means,28,102,98.87254901960785,3.0,3.9411764705882355,2.0223880597014925,1.9827333918642083,MEDIUM,MODERATELY COHERENT - meaningful grouping,condiments,25.49019607843137,dairy,402,3,"skinless chicken breast, lime pepper seasoning, lemonpepper seasoning, chicken stuffing mix, fatfree salad dressing","skinless chicken breast, lime pepper seasoning, lemonpepper seasoning, chicken stuffing mix, fatfree salad dressing, assorted fresh vegetable, good seasons salad dressing mix, stirfry sauce, teriyaki marinade, russian salad dressing"
K-Means,84,111,53.432432432432435,3.0,3.7567567567567566,2.0407673860911273,1.8385291766586733,MEDIUM,MODERATELY COHERENT - meaningful grouping,mixed,13.513513513513514,,417,5,"tomato paste, crushed tomatoes, cooking onion, pickled onion, soy cheese","tomato paste, crushed tomatoes, cooking onion, pickled onion, soy cheese, cubanelle pepper, vegan worcestershire sauce, mizithra cheese, reducedsodium vegetable broth, chianti wine"
K-Means,22,41,275.609756097561,2.0,3.6341463414634148,2.0201342281879193,4.927156654116876,MEDIUM,MODERATELY COHERENT - meaningful grouping,asian,24.390243902439025,,149,3,"green onion, porkflavored ramen noodles, chickenflavor oriental noodles, beefflavor ramen noodles, boilinthebag rice","green onion, porkflavored ramen noodles, chickenflavor oriental noodles, beefflavor ramen noodles, boilinthebag rice, sockeye salmon, thai rice noodles, round onion, fish cake, kamaboko"
K-Means,55,90,74.24444444444444,2.0,3.088888888888889,2.039568345323741,2.2661870503597124,MEDIUM,MODERATELY COHERENT - meaningful grouping,mixed,17.77777777777778,,278,4,"walnuts, red apple, walnut oil, mincemeat, dried tart cherry","walnuts, red apple, walnut oil, mincemeat, dried tart cherry, sweet apple, raspberry vinaigrette dressing, pomegranate syrup, mixed seeds, fruit spread"
K-Means,41,109,52.44954128440367,2.0,2.8807339449541285,2.245222929936306,2.059837550400281,MEDIUM,MODERATELY COHERENT - meaningful grouping,mixed,9.174311926605505,,314,8,"raisins, mixed spice, glace cherries, green cherries, candied peel","raisins, mixed spice, glace cherries, green cherries, candied peel, candied fruit, candied cherry, roasted sunflower seeds, almond essence, cashew pieces"
K-Means,86,116,54.10344827586207,3.0,2.7327586206896552,2.088328075709779,1.8002828238877406,MEDIUM,MODERATELY COHERENT - meaningful grouping,mixed,18.103448275862068,fruits,317,4,"powdered sugar, icing, maple flavoring, almond bark, instant lemon pudding","powdered sugar, icing, maple flavoring, almond bark, instant lemon pudding, maraschino juice, paraffin wax, decorative candies, flavoring, chocolate bar"
K-Means,68,101,60.54455445544554,2.0,2.722772277227723,2.061818181818182,2.0414041404140417,MEDIUM,MODERATELY COHERENT - meaningful grouping,mixed,8.91089108910891,,275,5,"kosher salt, extralarge egg, whole turkey, prime rib roast, granulated onion","kosher salt, extralarge egg, whole turkey, prime rib roast, granulated onion, meyer lemon, best foods mayonnaise, arbol chile, plastic wrap, standing rib roast"
K-Means,0,55,173.03636363636363,2.0,2.709090909090909,2.0671140939597317,3.758389261744967,MEDIUM,MODERATELY COHERENT - meaningful grouping,mixed,14.545454545454545,,149,4,"fresh lemon, canola oil, beefflavored vegetarian seasoning, dandelion flowers, frenchfried potatoes","fresh lemon, canola oil, beefflavored vegetarian seasoning, dandelion flowers, frenchfried potatoes, globe eggplant, buckwheat honey, smen, cajunlouisiana seasoning blend, chicken halves"
K-Means,98,67,185.16417910447763,2.0,2.671641791044776,2.022346368715084,3.018427415992663,MEDIUM,MODERATELY COHERENT - meaningful grouping,mixed,11.940298507462686,,179,3,"sour cream, vegetable soup mix, farmer cheese, knorr vegetable soup mix, frozen coconut","sour cream, vegetable soup mix, farmer cheese, knorr vegetable soup mix, frozen coconut, apricot syrup, green giant whole mushrooms, beau monde spice, sweet corn relish, saffron rice mix"
K-Means,67,77,129.8961038961039,2.0,2.6493506493506493,2.053921568627451,2.667430608607079,MEDIUM,MODERATELY COHERENT - meaningful grouping,mixed,14.285714285714285,,204,4,"honey, fresh fig, lavender flowers, grey poupon mustard, duck","honey, fresh fig, lavender flowers, grey poupon mustard, duck, muesli, dried lavender, almond oil, lowfat peanut butter, brewed green tea"
K-Means,47,52,1035.9038461538462,1.0,2.6346153846153846,2.051094890510949,3.9444132509825938,MEDIUM,MODERATELY COHERENT - meaningful grouping,dairy,23.076923076923077,dessert,137,3,"butter, rice bubbles, golden grahams cereal, mars bars, unpopped popcorn","butter, rice bubbles, golden grahams cereal, mars bars, unpopped popcorn, beef consomme soup, cocoa pebbles cereal, chicken in a biscuit crackers, ginger biscuits, magic shell ice cream topping"
K-Means,29,66,180.34848484848484,2.0,2.4242424242424243,2.05,3.106060606060606,MEDIUM,MODERATELY COHERENT - meaningful grouping,dairy,24.242424242424242,dessert,160,3,"vanilla extract, fatfree condensed milk, coffee creamer, butter flavor extract, reducedcalorie whipped topping","vanilla extract, fatfree condensed milk, coffee creamer, butter flavor extract, reducedcalorie whipped topping, chocolateflavored candy coating, chocolateflavor nestle nesquik powder, chocolatecovered nuts, extra large egg whites, natural cane sugar"
K-Means,38,66,122.53030303030303,3.0,2.3484848484848486,2.032258064516129,3.0791788856304985,MEDIUM,MODERATELY COHERENT - meaningful grouping,mixed,15.151515151515152,,155,3,"parsley, veal, spearmint, lea perrins worcestershire sauce, fish steaks","parsley, veal, spearmint, lea perrins worcestershire sauce, fish steaks, fines herbes, sole, spanish olive oil, bearnaise sauce, spaetzle noodles"
K-Means,80,71,170.07042253521126,2.0,2.1549295774647885,2.0326797385620914,2.8629292092423824,MEDIUM,MODERATELY COHERENT - meaningful grouping,mixed,16.901408450704224,,153,3,"tomatoes, whole wheat english muffin, bermuda onion, lowfat ranch dressing, walla walla onion","tomatoes, whole wheat english muffin, bermuda onion, lowfat ranch dressing, walla walla onion, sharp cheese, cassava, fatfree american cheese, culantro, ovenroasted turkey breast"
K-Means,57,51,359.11764705882354,2.0,1.9607843137254901,2.03,3.980392156862745,MEDIUM,MODERATELY COHERENT - meaningful grouping,protein,21.568627450980394,,100,3,"salt pepper, vegan parmesan cheese, herb salad dressing, country sausage, worchestershire sauce","salt pepper, vegan parmesan cheese, herb salad dressing, country sausage, worchestershire sauce, mature cheddar cheese, bacon piece, boneless fish fillet, french tarragon, gluten free bread"
K-Means,39,86,95.80232558139535,2.0,1.872093023255814,2.0372670807453415,2.3689152101690016,MEDIUM,MODERATELY COHERENT - meaningful grouping,mixed,16.27906976744186,,161,4,"potato, tapioca, haddock, lamb stock, polska kielbasa","potato, tapioca, haddock, lamb stock, polska kielbasa, sorrel, canned clams, curd cheese, lowsodium chicken bouillon cube, raclette cheese"
K-Means,61,66,95.0,2.0,1.7575757575757576,2.043103448275862,3.095611285266458,MEDIUM,MODERATELY COHERENT - meaningful grouping,vegetables,24.242424242424242,italian,116,3,"hot pepper flakes, broccoli raab, lean chicken, bucatini pasta, chicken breast halve","hot pepper flakes, broccoli raab, lean chicken, bucatini pasta, chicken breast halve, spinach tortellini, cooked vermicelli, fresh tarragon sprig, basil chiffonade, rapini"
K-Means,66,88,72.3409090909091,2.0,1.6022727272727273,2.0425531914893615,2.3210831721470018,MEDIUM,MODERATELY COHERENT - meaningful grouping,baking,25.0,dessert,141,3,"granulated sugar, coarse sugar, sugar cube, red plum, nestlccae toll housecae dark chocolate morsels","granulated sugar, coarse sugar, sugar cube, red plum, nestlccae toll housecae dark chocolate morsels, powdered drink mix, sugarfree lemonadeflavored drink mix, earl grey tea, nestle toll house baking cocoa, pie cherries"
K-Means,89,43,190.90697674418604,3.0,1.5813953488372092,2.0441176470588234,4.75376196990424,MEDIUM,MODERATELY COHERENT - meaningful grouping,mixed,13.953488372093023,,68,3,"fresh parsley, fresh savory, carrot sticks, periperi, cooked lamb","fresh parsley, fresh savory, carrot sticks, periperi, cooked lamb, locatelli cheese, laurel leaf, sardines in oil, whole meal bread, frozen potato pierogi"
K-Means,7,73,57.63013698630137,2.0,1.5342465753424657,2.0892857142857144,2.862035225048924,MEDIUM,MODERATELY COHERENT - meaningful grouping,mixed,13.698630136986301,,112,4,"scallion, scotch bonnet pepper, major grey chutney, ovenroasted deli chicken, pignolis","scallion, scotch bonnet pepper, major grey chutney, ovenroasted deli chicken, pignolis, cooked chicken breast half, lowfat silken tofu, pretzel rod, lowfat bacon, alfalfa"
K-Means,15,60,104.25,2.0,1.45,2.0114942528735633,3.3524904214559386,MEDIUM,MODERATELY COHERENT - meaningful grouping,mixed,18.333333333333332,,87,3,"heavy cream, pork rind, puff pastry shells, chocolate candy melts, white port","heavy cream, pork rind, puff pastry shells, chocolate candy melts, white port, angelica, licor, heather honey, atkins baking mix, blue crab meat"
K-Means,81,57,138.8421052631579,3.0,1.368421052631579,2.0256410256410255,3.553756185335132,MEDIUM,MODERATELY COHERENT - meaningful grouping,dairy,21.052631578947366,,78,3,"fresh ground black pepper, paper, dipping sauce, baby bella mushroom, annatto oil","fresh ground black pepper, paper, dipping sauce, baby bella mushroom, annatto oil, smoked trout, fullcream milk, olive oil mayonnaise, dulse seaweed, summer sausage"
K-Means,72,106,39.4811320754717,2.0,1.349056603773585,2.06993006993007,1.9527642169151604,MEDIUM,MODERATELY COHERENT - meaningful grouping,mixed,14.150943396226415,,143,4,"lemon, tartar sauce, rose wine, mint jelly, stick","lemon, tartar sauce, rose wine, mint jelly, stick, turkish bread, turkey breast half, fish roe, bacardi limon, date syrup"
K-Means,83,77,83.15584415584415,2.0,1.2857142857142858,2.101010101010101,2.728584546766365,MEDIUM,MODERATELY COHERENT - meaningful grouping,mixed,10.38961038961039,,99,6,"cayenne pepper, goldfish crackers, habanero sauce, pollock fillet, rib chops","cayenne pepper, goldfish crackers, habanero sauce, pollock fillet, rib chops, squid ring, salted almond, wasabi peas, sesame sticks, black and red pepper blend"
K-Means,91,119,42.05042016806723,2.0,1.2100840336134453,2.0972222222222223,1.7623716153127917,MEDIUM,MODERATELY COHERENT - meaningful grouping,mixed,13.445378151260504,,144,4,"mushroom, veggie burger, chicken consomme, mixed pepper, pate","mushroom, veggie burger, chicken consomme, mixed pepper, pate, unsmoked bacon, pan juices, beef stock granules, pork medallions, yoshida gourmet sauce"
K-Means,95,29,611.2413793103449,2.0,0.9310344827586207,2.0,6.896551724137931,LOW,WEAK COHERENCE - potential artifact,mixed,17.24137931034483,,27,2,"garlic, palm oil, swordfish, fish bouillon cube, ahi","garlic, palm oil, swordfish, fish bouillon cube, ahi, hot spice blend, manila clams, shrimp bouillon, regularstrength chicken broth, grouper steaks"
K-Means,8,33,5.96969696969697,2.0,0.21212121212121213,2.142857142857143,6.493506493506493,MEDIUM,MODERATELY COHERENT - meaningful grouping,baking,21.21212121212121,dessert,7,3,"brioche bread, jumbo egg, blackberry jam, imitation vanilla, orange oil","brioche bread, jumbo egg, blackberry jam, imitation vanilla, orange oil, bleached all purpose flour, pecan meal, cherries in juice, ganache, granular fructose"
